"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5724","verify product search canon","webkit","2026-06-08","passed","2026-06-08","","search.spec.ts","",""
"","6875","verify product meta data","webkit","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
"","7892","verify product meta data","Google Chrome","2026-06-11","passed","2026-06-11","","productInfo.spec.ts","",""
"","4773","get started link","chromium","2026-06-08","passed","2026-06-08","","example.spec.ts","",""
"","7287","Negative testcase for login","webkit","2026-06-08","failed","2026-06-08","","loginPage.spec.ts","",""
"","4346","verify product info page","chromium","2026-05-22","passed","2026-05-22","","productInfo.spec.ts","",""
"","8668","register user : Bob","webkit","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","4447","verify product info page samsung","chromium","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
"","5509","registration user Alice 1","chromium","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","4629","registration user unknown 1","chromium","2026-06-08","failed","2026-06-08","","register.spec.ts","",""
"","5966","register user : Alice","webkit","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","5133","Login to application","chromium","2026-06-08","passed","2026-06-08","","loginPage.spec.ts","",""
"","6757","verify product search dummy","Google Chrome","2026-06-11","passed","2026-06-11","","search.spec.ts","",""
"","16312","verify product search samsung","firefox","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","8044","verify product info page samsung","Google Chrome","2026-06-11","passed","2026-06-11","","productInfo.spec.ts","",""
"","6427","verify product search samsung","webkit","2026-06-08","failed","2026-06-08","","search.spec.ts","",""
"","5918","Login to application","webkit","2026-06-08","passed","2026-06-08","","loginPage.spec.ts","",""
"","5781","verify product info page samsung","webkit","2026-06-08","failed","2026-06-08","","productInfo.spec.ts","",""
"","6484","verify product search canon","Google Chrome","2026-06-11","passed","2026-06-11","","search.spec.ts","",""
"","8575","verify product info page macbook","Google Chrome","2026-06-11","passed","2026-06-11","","productInfo.spec.ts","",""
"","5096","get started link","webkit","2026-06-08","passed","2026-06-08","","example.spec.ts","",""
"","2326","Negative testcase for login","Google Chrome","2026-06-17","failed","2026-06-17","","loginPage.spec.ts","",""
"","7145","verify product search samsung","chromium","2026-06-10","passed","2026-06-10","","search.spec.ts","",""
"","7038","verify product info page macbook","webkit","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
"","5547","register user : Bob","chromium","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","8009","register user : Charlie","webkit","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","4589","verify product search dummy","webkit","2026-06-08","passed","2026-06-08","","search.spec.ts","",""
"","5123","register user : Alice","chromium","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","7299","verify product info page canon","Google Chrome","2026-06-11","passed","2026-06-11","","productInfo.spec.ts","",""
"","5293","get started link","Google Chrome","2026-06-11","passed","2026-06-11","","example.spec.ts","",""
"","2425","Login to application","Google Chrome","2026-06-17","passed","2026-06-17","","loginPage.spec.ts","",""
"","4915","registration user unknown 2","chromium","2026-06-08","failed","2026-06-08","","register.spec.ts","",""
"","7746","register user : Charlie","Google Chrome","2026-06-11","passed","2026-06-11","","register.spec.ts","",""
"","7396","verify product search macbook","webkit","2026-06-08","passed","2026-06-08","","search.spec.ts","",""
"","6147","has title","Google Chrome","2026-06-11","passed","2026-06-11","","example.spec.ts","",""
"","5518","verify product info page macbook","chromium","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
"","6284","verify product search samsung","Google Chrome","2026-06-11","passed","2026-06-11","","search.spec.ts","",""
"","3768","has title","chromium","2026-06-08","passed","2026-06-08","","example.spec.ts","",""
"","7273","verify product search macbook","chromium","2026-06-10","passed","2026-06-10","","search.spec.ts","",""
"","3714","register the user","chromium","2026-06-06","passed","2026-06-06","","register.spec.ts","",""
"","4546","verify product info page canon","chromium","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
"","6877","verify product search macbook","Google Chrome","2026-06-11","passed","2026-06-11","","search.spec.ts","",""
"","15877","verify product search dummy","firefox","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","4904","register user : Charlie","chromium","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","51760","verify product search canon","firefox","2026-05-21","broken","2026-05-21","","search.spec.ts","",""
"","7491","register user : Alice","Google Chrome","2026-06-11","passed","2026-06-11","","register.spec.ts","",""
"","7425","register user : Bob","Google Chrome","2026-06-11","passed","2026-06-11","","register.spec.ts","",""
"","4685","registration user unknown 3","chromium","2026-06-08","failed","2026-06-08","","register.spec.ts","",""
"","20477","verify product search macbook","firefox","2026-05-21","passed","2026-05-21","","search.spec.ts","",""
"","6340","verify product search canon","chromium","2026-06-10","passed","2026-06-10","","search.spec.ts","",""
"","5486","registration user Bob 2","chromium","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","5148","Negative testcase for login","chromium","2026-06-08","failed","2026-06-08","","loginPage.spec.ts","",""
"","6971","verify product meta data","chromium","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
"","6773","verify product search dummy","chromium","2026-06-10","passed","2026-06-10","","search.spec.ts","",""
"","5218","registration user Charlie 3","chromium","2026-06-08","passed","2026-06-08","","register.spec.ts","",""
"","5182","has title","webkit","2026-06-08","passed","2026-06-08","","example.spec.ts","",""
"","7030","verify product info page canon","webkit","2026-06-08","passed","2026-06-08","","productInfo.spec.ts","",""
