"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 17 13:21:36 UTC 2026","Wed Jun 17 13:21:41 UTC 2026","4276","chromium","productInfo.spec.ts","","","","verify product meta data",""
"passed","Wed Jun 17 13:22:04 UTC 2026","Wed Jun 17 13:22:07 UTC 2026","2988","chromium","search.spec.ts","","","","verify product search dummy",""
"passed","Wed Jun 17 13:22:00 UTC 2026","Wed Jun 17 13:22:04 UTC 2026","3288","chromium","search.spec.ts","","","","verify product search canon",""
"failed","Wed Jun 17 13:21:17 UTC 2026","Wed Jun 17 13:21:20 UTC 2026","2830","chromium","loginPage.spec.ts","","","","Negative testcase for login",""
"passed","Wed Jun 17 13:21:58 UTC 2026","Wed Jun 17 13:22:00 UTC 2026","2971","chromium","search.spec.ts","","","","verify product search samsung",""
"passed","Wed Jun 17 13:21:20 UTC 2026","Wed Jun 17 13:21:26 UTC 2026","5149","chromium","practice.spec.ts","","","","demo test",""
"passed","Wed Jun 17 13:21:23 UTC 2026","Wed Jun 17 13:21:28 UTC 2026","4419","chromium","productInfo.spec.ts","","","","verify product info page macbook",""
"passed","Wed Jun 17 13:21:14 UTC 2026","Wed Jun 17 13:21:17 UTC 2026","2834","chromium","loginPage.spec.ts","","","","Login to application",""
"passed","Wed Jun 17 13:21:32 UTC 2026","Wed Jun 17 13:21:36 UTC 2026","4252","chromium","productInfo.spec.ts","","","","verify product info page canon",""
"passed","Wed Jun 17 13:21:41 UTC 2026","Wed Jun 17 13:21:45 UTC 2026","4387","chromium","register.spec.ts","","","","register user : Alice",""
"passed","Wed Jun 17 13:21:50 UTC 2026","Wed Jun 17 13:21:54 UTC 2026","4524","chromium","register.spec.ts","","","","register user : Charlie",""
"passed","Wed Jun 17 13:21:54 UTC 2026","Wed Jun 17 13:21:57 UTC 2026","3434","chromium","search.spec.ts","","","","verify product search macbook",""
"passed","Wed Jun 17 13:21:28 UTC 2026","Wed Jun 17 13:21:32 UTC 2026","4300","chromium","productInfo.spec.ts","","","","verify product info page samsung",""
"passed","Wed Jun 17 13:21:45 UTC 2026","Wed Jun 17 13:21:50 UTC 2026","4502","chromium","register.spec.ts","","","","register user : Bob",""
